Texto,Data,Redes Sociais,sentimento
O SÃO JOÃO ARRUMOU UMA GIRL EM PLENA FESTA JUNINA,2023-06-22 08:23 AM,twitter.com,Negative
babando na minha bebêzinha com lenço de festa junina,2023-06-22 08:23 AM,twitter.com,Positive
MDS!!! Tem quentão? Amooooo 🫶,2023-06-22 08:23 AM,twitter.com,Positive
eh pq eh tema de festa junina,2023-06-22 08:22 AM,twitter.com,Neutral
Me segurando com todas as minhas forças pra não comer o bolo de milho que vamos levar pra festa junina hoje 😂,2023-06-22 08:22 AM,twitter.com,Neutral
Nunca pularam fogueira na festa junina? Que bah!😂😂😂,2023-06-22 08:22 AM,twitter.com,Neutral
"Mt ansiosa pra festa junina!! Mt ansiosa pra me arrumar pra festa junina, ansiosa pra encher o cu de milho e churros",2023-06-22 08:22 AM,twitter.com,Positive
"um sorvete feito a base de pinhão e calda de quentão No próximo sábado, 24 de junho, acontece o auge das",2023-06-22 08:21 AM,abrasce.com.br,Neutral
animada pra festa junina do trabalho ver minhas cria fofinha de roupa caipira,2023-06-22 08:21 AM,twitter.com,Positive
"fui pra festa junina e o paulo me convidou pra ir pro arraia da família dele no fds e ainda tem o arraia da academia, ou seja, não tenho uma peça de roupa sequer que combine, fui na rua e achei uma brusinha de 35 q vou combinar com uma calça preta [...]",2023-06-22 08:20 AM,twitter.com,Neutral
não tem uma festa junina nessa cidade que sofrimento,2023-06-22 08:20 AM,twitter.com,Negative
"O Guilherme perguntou se ainda dá tempo de pular na fogueira, aí eu disse que vc tava querendo fzr uma festa junina só pra isso",2023-06-22 08:20 AM,twitter.com,Neutral
mds é muito difícil organizar uma festa junina na empresa sozinha,2023-06-22 08:20 AM,twitter.com,Negative
Festa junina amanhã na escola vai tá como. Uma bosta mais vou por causa da comida 😍,2023-06-22 08:20 AM,twitter.com,Positive
tinha uma festa junina no sábado (A PRIMEIRA DESSE ANO) e adivinha quem tá passando mal? 🙃,2023-06-22 08:20 AM,twitter.com,Neutral
"se essa festa junina render metade das fofocas que a outra rendeu, ja ta valendo a pena",2023-06-22 08:20 AM,twitter.com,Negative
Caras n fui em nenhuma festa junina ainda CADEEE,2023-06-22 08:20 AM,twitter.com,Neutral
e td mundo fica o melhor de festa junina sao as comidas e eu fico ue mas a unica coisa boa eh o cachorro quente o resto pode botar td no lixo (pinhao tb amo mas eh mt tipico do sul e ngm vai saber oq eh),2023-06-22 08:20 AM,twitter.com,Positive
"Matriz LOTADA de lojinha de festa junina, perdi uns 60 conto só comprando comida, 0 arrependimentos",2023-06-22 08:19 AM,twitter.com,Negative
eles indo se apresentar na festa junina da escola,2023-06-22 08:19 AM,twitter.com,Neutral
