Texto,Data,Redes Sociais,sentimento
"Olá gente linda! no Vídeo estou fazendo uma pamonha na travessa com flocão, é uma receita fácil de fazer, e fica uma delícia ...",2023-05-26 05:52 AM,youtube.com,Positive
Video can be found here,2023-05-26 05:42 AM,youtube.com,Negative
Aô época boa sô 🌽 🌾 #festajunina #docesjuninos #milho #junino #festadaroça #roça #fazenda #confeiteira #suspiro #pravoce,2023-05-26 05:42 AM,tiktok.com,Positive
muito pra o sao joao? falta muito pra o sao joao? falta muito pra o sao joao? falta muito pra o sao joao? falta muito pra o sao joao? falta muito pra o sao joao? falta muito pra o sao joao? falta muito pra o sao joao? falta muito pra o sao joao? falta muito pra o sao joao? [...],2023-05-26 05:41 AM,twitter.com,Neutral
seus frescurentos #vaiprofy #festajunina #vaiprofybr #saojoao,2023-05-26 05:31 AM,tiktok.com,Neutral
A homenagem enaltece as pessoas que confeccionam as indumentárias juninas trazendo as texturas que compõem os trajes típicos do mês de junho. #NossoMeio #PortalNossoMeio #saojoao #refigerante #guaranajesus #maranhao #solarcocacola https://www.nossomeio.com.br/guarana-jesus-lanca-quarto-latas-com-design-comemorativo-de-sao-joao/,2023-05-26 05:30 AM,twitter.com,Positive
"@lilaceblue Oiee, tenho um dos Strawberry Moon MD (da camisa xadrez azul)",2023-05-26 05:23 AM,twitter.com,Neutral
"o sao joao daqui batendo nas portas e o comeback do skz tbm, quero saber como vou viver indo pra show e vendo as promoções do comeback COMO EU VOU DORMIR",2023-05-26 05:23 AM,twitter.com,Neutral
Video can be found here,2023-05-26 05:21 AM,youtube.com,Positive
Já estou recebendo convites #FestaJunina #MensagemDoDia #ReflexãoDoDia #FrasesEngraçadas #HumorNoTiKToK #FabrícioGravata,2023-05-26 05:14 AM,tiktok.com,Neutral
Desculpa meus cactos mas eu nao gosto de cuscuz #ttk #festajunina #cuscuz #juliette,2023-05-26 05:13 AM,tiktok.com,Negative
Video can be found here,2023-05-26 05:10 AM,youtube.com,Neutral
Alguem tem uma camisa xadrez vermelha pra me emprestar pra festa junina?,2023-05-26 05:07 AM,twitter.com,Neutral
#festajunina #escola #proftaticarol,2023-05-26 05:05 AM,tiktok.com,Neutral
"Com quatro dias, festa junina em Maringá será mais um atrativo na “região dos ipês” https://www.jornaldooeste.com.br/regiao/com-quatro-dias-festa-junina-em-maringa-sera-mais-um-atrativo-na-regiao-dos-ipes/ 📸Roberto Dziura Jr/AEN 🌐Leia a matéria completa no site. Link na BIO #festajunina #atrativo #regiaodosipês #maringa https://t.co/EIS6p0xoEW",2023-05-26 05:05 AM,twitter.com,Neutral
GOSTOU!? PARA MAIS INFORMAÇÕES JÁ CHAMA A GENTE NO ZAP (370 99660-5988 ** VÍDEO DETALHADO SOBRE AS ...,2023-05-26 05:03 AM,youtube.com,Neutral
Video can be found here,2023-05-26 05:00 AM,youtube.com,Positive
"São João do Recife começa em 11 de junho, com mais de 800 atrações espalhadas pela cidade e um novo polo no Recife Antigo. Confira. #SãoJoãoDoRecife #Recife #SãoJoão #FestaJunina #jm https://jc.ne10.uol.com.br/cultura/2023/05/15473959-sao-joao-do-recife-2023-tera-20-dias-de-festa-veja-programacao.html?utm_source=JM&utm_medium=social&utm_campaign",2023-05-26 05:00 AM,twitter.com,Neutral
"Caldo de batata, ideal para fazer na sua festa junina! Olá vizinhas tudo bem com vocês? Espero muitíssimo que sim! Mais um ...",2023-05-26 05:00 AM,youtube.com,Positive
"Não perca nossa tradicional Festa Junina!! Barracas de comidas típicas e muitas brincadeiras, nosso bazar e sorteios imperdíveis ...",2023-05-26 04:59 AM,youtube.com,Neutral
quem discordar ta errado! #comidamineira #festajunina #festa #roça #,2023-05-26 04:59 AM,tiktok.com,Negative
"São João do Recife começa em 11 de junho, com mais de 800 atrações espalhadas pela cidade e um novo polo no Recife Antigo. Confira. #SãoJoãoDoRecife #Recife #SãoJoão #FestaJunina #jm https://jc.ne10.uol.com.br/cultura/2023/05/15473959-sao-joao-do-recife-2023-tera-20-dias-de-festa-veja-programacao.html?utm_source=JM&utm_medium=social&utm_campaign",2023-05-26 04:59 AM,twitter.com,Neutral
"São João do Recife começa em 11 de junho, com mais de 800 atrações espalhadas pela cidade e um novo polo no Recife Antigo. Confira. #SãoJoãoDoRecife #Recife #SãoJoão #FestaJunina #jm https://jc.ne10.uol.com.br/cultura/2023/05/15473959-sao-joao-do-recife-2023-tera-20-dias-de-festa-veja-programacao.html?utm_source=JM&utm_medium=social&utm_campaign",2023-05-26 04:58 AM,twitter.com,Neutral
me sentindo muito agro com a camisa xadrez,2023-05-26 04:58 AM,twitter.com,Neutral
